,EE_afrr_up_activ,EE_afrr_down_activ,LV_afrr_up_activ,LV_afrr_down_activ,LT_afrr_up_activ,LT_afrr_down_activ,EE_afrr_up_min_bid,EE_afrr_up_max_bid,EE_afrr_down_min_bid,EE_afrr_down_max_bid,LV_afrr_up_min_bid,LV_afrr_up_max_bid,LV_afrr_down_min_bid,LV_afrr_down_max_bid,LT_afrr_up_min_bid,LT_afrr_up_max_bid,LT_afrr_down_min_bid,LT_afrr_down_max_bid,EE_afrr_up_price,EE_afrr_down_price,LV_afrr_up_price,LV_afrr_down_price,LT_afrr_up_price,LT_afrr_down_price,EE_procur_FCR_price,EE_procur_afrr_up_price,EE_procur_afrr_down_price,EE_procur_mfrr_up_price,EE_procur_mfrr_down_price,LV_procur_FCR_price,LV_procur_afrr_up_price,LV_procur_afrr_down_price,LV_procur_mfrr_up_price,LV_procur_mfrr_down_price,LT_procur_FCR_price,LT_procur_afrr_up_price,LT_procur_afrr_down_price,LT_procur_mfrr_up_price,LT_procur_mfrr_down_price,EE_procur_FCR_vol,EE_procur_afrr_up_vol,EE_procur_afrr_down_vol,EE_procur_mfrr_up_vol,EE_procur_mfrr_down_vol,LV_procur_FCR_vol,LV_procur_afrr_up_vol,LV_procur_afrr_down_vol,LV_procur_mfrr_up_vol,LV_procur_mfrr_down_vol,LT_procur_FCR_vol,LT_procur_afrr_up_vol,LT_procur_afrr_down_vol,LT_procur_mfrr_up_vol,LT_procur_mfrr_down_vol,EE_imb_MW,LV_imb_MW,LT_imb_MW,EE_mfrr_SA_up_activ,EE_mfrr_SA_down_activ,LV_mfrr_SA_up_activ,LV_mfrr_SA_down_activ,LT_mfrr_SA_up_activ,LT_mfrr_SA_down_activ,EE_mfrr_SA_up_min_bid,EE_mfrr_SA_up_max_bid,EE_mfrr_SA_down_min_bid,EE_mfrr_SA_down_max_bid,LV_mfrr_SA_up_min_bid,LV_mfrr_SA_up_max_bid,LV_mfrr_SA_down_min_bid,LV_mfrr_SA_down_max_bid,LT_mfrr_SA_up_min_bid,LT_mfrr_SA_up_max_bid,LT_mfrr_SA_down_min_bid,LT_mfrr_SA_down_max_bid,EE_mfrr_SA_up_vol,EE_mfrr_SA_down_vol,LV_mfrr_SA_up_vol,LV_mfrr_SA_down_vol,LT_mfrr_SA_up_vol,LT_mfrr_SA_down_vol,EE_up_sa_cbmp,EE_up_da_cbmp,EE_down_sa_cbmp,EE_down_da_cbmp,LV_up_sa_cbmp,LV_up_da_cbmp,LV_down_sa_cbmp,LV_down_da_cbmp,LT_up_sa_cbmp,LT_up_da_cbmp,LT_down_sa_cbmp,LT_down_da_cbmp,EE_dsb,LV_dsb,LT_dsb,10YLT-1001A0008Q_DA_eurmwh
2025-01-02 01:00:00,,,,,0.0,5.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.244,21.534,3.795,17.25,0.0,8.75,0.0,0.0,0.0,148.05,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,69.0,12.0,53.0,29.0,809.0,172.0,174.46,0.0,174.46,0.0,174.46,,174.46,,174.46,,174.46,,-1.0,1.0,1.0,3.21
2025-01-02 01:15:00,,,,,0.0,10.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.244,22.008,16.003,17.25,0.0,8.75,0.0,0.0,0.0,147.98,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,69.0,13.0,53.0,29.0,809.0,170.0,174.46,0.0,174.46,-214.0,174.46,-214.0,174.46,-214.0,174.46,,174.46,,-1.0,-1.0,1.0,3.21
2025-01-02 01:30:00,,,,,0.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.244,26.547,29.25,0.0,1.0,0.0,0.0,0.0,19.5,147.85,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,69.0,16.0,53.0,29.0,809.0,171.0,-25.7,0.0,-25.7,-214.0,-25.7,,-25.7,,-25.7,,-25.7,,-1.0,-1.0,1.0,3.21
2025-01-02 01:45:00,,,,,0.3,5.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.244,13.933,22.98,0.0,4.0,0.0,7.25,0.0,40.75,147.71,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,69.0,16.0,53.0,29.0,809.0,170.0,-214.0,0.0,-214.0,0.0,-214.0,,-214.0,,-214.0,,-214.0,,-1.0,-1.0,1.0,3.21
2025-01-02 02:00:00,,,,,4.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.127,11.383,7.522,5.75,0.0,6.5,0.0,0.0,12.5,92.01,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,70.0,16.0,53.0,29.0,809.0,174.0,161.6,0.0,161.6,0.0,161.6,,161.6,,-17.7,,-17.7,,-1.0,-1.0,1.0,3.07
2025-01-02 02:15:00,,,,,0.0,3.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.127,13.781,12.052,0.0,2.75,0.0,7.25,0.0,17.75,92.01,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,71.0,15.0,53.0,29.0,809.0,170.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,-1.0,-1.0,1.0,3.07
2025-01-02 02:30:00,,,,,0.0,10.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.127,14.959,14.8,0.0,4.5,0.0,7.25,0.0,40.75,147.64,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,70.0,20.0,53.0,29.0,809.0,170.0,-214.0,0.0,-214.0,0.0,-214.0,,-214.0,,-214.0,,-214.0,,-1.0,-1.0,1.0,3.07
2025-01-02 02:45:00,,,,,0.15,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.127,14.353,14.38,0.0,4.0,0.0,7.25,0.0,28.75,147.87,174.46,-89.0,99.0,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,70.0,20.0,53.0,29.0,809.0,169.0,-89.0,0.0,-89.0,0.0,-89.0,,-89.0,,-89.0,,-89.0,,-1.0,-1.0,1.0,3.07
2025-01-02 03:00:00,,,,,6.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.972,16.559,2.158,0.0,3.5,0.0,7.25,0.0,13.5,148.3,174.46,-89.0,36.03,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,70.0,24.0,53.0,29.0,809.0,172.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,1.0,-1.0,1.0,3.86
2025-01-02 03:15:00,,,,,2.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.972,16.251,3.0,0.0,3.75,0.0,7.25,0.0,8.75,147.63,174.46,-89.0,36.03,150.0,150.01,-10.0,-10.0,0.0,328.9,-300.0,0.0,70.0,26.0,53.0,29.0,809.0,174.0,-17.7,0.0,-17.7,0.0,-17.7,,-17.7,,-17.7,,-17.7,,1.0,-1.0,1.0,3.86
