,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,13.333627,13.684512,125.0,87.0,0.0,0.0,0.0,0.0,100.0,100.0,0.8785,0.8285,96.0,96.0
2025-03-01 01:00:00+00:00,12.2809725,14.737166,123.0,99.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7285,0.7285,96.0,97.0
2025-03-01 02:00:00+00:00,13.333627,12.631857,118.0,101.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7785,0.7285,96.0,96.0
2025-03-01 03:00:00+00:00,11.228318,9.473893,130.0,102.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7785,0.6285,98.0,97.0
2025-03-01 04:00:00+00:00,9.123008,7.368583,152.0,87.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7785,0.5285,99.0,97.0
2025-03-01 05:00:00+00:00,5.965044,7.368583,155.0,66.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7285,0.5285,99.0,97.0
2025-03-01 06:00:00+00:00,2.8070796,8.421238,184.0,67.0,0.0,0.0,3.0,3.0,100.0,100.0,0.7285,0.5785,99.0,97.0
2025-03-01 07:00:00+00:00,6.3159285,5.2632737,201.0,60.0,0.0,0.0,13.0,23.0,100.0,100.0,0.8285,0.7785,99.0,96.0
2025-03-01 08:00:00+00:00,2.8070796,3.8597343,236.0,13.0,0.0,0.0,47.962387,51.465485,100.0,100.0,1.1784999,1.0785,98.0,96.0
2025-03-01 09:00:00+00:00,5.965044,1.7544246,247.0,11.0,0.0,0.0,79.54681,99.476364,100.0,100.0,1.8785,1.6285,95.0,95.0
2025-03-01 10:00:00+00:00,5.2632737,6.3159285,278.0,325.0,0.0,1.0,129.41246,152.70851,100.0,100.0,2.5785,2.5284998,92.0,90.0
2025-03-01 11:00:00+00:00,5.2632737,9.824778,301.0,324.0,0.0,0.0,120.12563,97.171524,100.0,100.0,3.0284998,2.4285,89.0,90.0
2025-03-01 12:00:00+00:00,6.3159285,10.175663,300.0,312.0,0.0,0.0,102.05249,93.47365,100.0,100.0,3.2784998,2.9285,86.0,91.0
2025-03-01 13:00:00+00:00,6.6668134,13.684512,336.0,321.0,0.0,0.0,66.4408,47.465317,100.0,100.0,3.2784998,2.8785,87.0,94.0
2025-03-01 14:00:00+00:00,7.0176983,14.035397,350.0,324.0,0.0,0.0,44.45425,53.383556,100.0,100.0,3.1285,2.9785,91.0,93.0
2025-03-01 15:00:00+00:00,10.526547,11.930088,329.0,328.0,0.0,0.0,25.828735,14.0,100.0,100.0,2.6785,2.4785,92.0,95.0
2025-03-01 16:00:00+00:00,13.333627,12.631857,345.0,324.0,0.0,0.0,7.0,7.0,100.0,100.0,2.5284998,2.4785,94.0,96.0
2025-03-01 17:00:00+00:00,15.789822,12.2809725,332.0,329.0,0.0,0.0,0.0,0.0,100.0,100.0,2.3285,2.3285,94.0,96.0
2025-03-01 18:00:00+00:00,16.49159,9.123008,334.0,303.0,0.0,0.0,0.0,0.0,100.0,100.0,2.0284998,2.3785,95.0,95.0
2025-03-01 19:00:00+00:00,14.386281,14.737166,330.0,307.0,0.0,0.0,0.0,0.0,100.0,100.0,2.0785,2.1785,96.0,97.0
2025-03-01 20:00:00+00:00,12.2809725,16.842476,325.0,329.0,0.0,0.0,0.0,0.0,100.0,100.0,1.9784999,1.9784999,97.0,96.0
2025-03-01 21:00:00+00:00,14.737166,13.684512,329.0,331.0,0.0,0.0,0.0,0.0,100.0,100.0,1.8285,1.7785001,96.0,97.0
2025-03-01 22:00:00+00:00,18.596903,15.438937,323.0,319.0,0.0,0.0,0.0,0.0,100.0,100.0,1.6784999,1.6784999,96.0,97.0
2025-03-01 23:00:00+00:00,17.193361,15.438937,332.0,307.0,0.0,0.0,0.0,0.0,100.0,100.0,1.4784999,1.6285,96.0,96.0
2025-03-02 00:00:00+00:00,17.193361,17.544245,328.0,309.0,0.0,0.0,0.0,0.0,100.0,100.0,1.4784999,1.3785,95.0,97.0
2025-03-02 01:00:00+00:00,12.982742,16.49159,293.0,299.0,0.0,0.0,0.0,0.0,100.0,100.0,1.3285,0.8785,96.0,96.0
