,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,12.2809725,16.140705,85.0,67.0,0.0,0.0,0.0,0.0,100.0,100.0,1.1005,0.75049996,95.0,98.0
2025-03-01 01:00:00+00:00,12.2809725,15.088053,80.0,66.0,0.0,0.0,0.0,0.0,100.0,100.0,1.0505,0.8505,95.0,97.0
2025-03-01 02:00:00+00:00,12.982742,14.386281,82.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,1.1005,0.8005,95.0,97.0
2025-03-01 03:00:00+00:00,9.473893,14.386281,99.0,49.0,0.0,0.0,0.0,0.0,100.0,100.0,1.1005,0.8505,96.0,96.0
2025-03-01 04:00:00+00:00,8.070353,15.438937,78.0,40.0,0.0,0.0,0.0,0.0,100.0,100.0,1.1504999,0.8005,97.0,96.0
2025-03-01 05:00:00+00:00,9.824778,15.088053,68.0,49.0,0.0,0.0,0.0,0.0,100.0,100.0,1.1504999,0.8505,96.0,95.0
2025-03-01 06:00:00+00:00,8.421238,12.631857,76.0,49.0,0.0,0.0,4.0,4.0,100.0,100.0,1.1005,0.9505,96.0,95.0
2025-03-01 07:00:00+00:00,5.965044,9.824778,82.0,31.0,0.0,0.0,16.0,26.767895,100.0,100.0,1.1504999,1.1005,96.0,95.0
2025-03-01 08:00:00+00:00,3.8597343,10.175663,68.0,29.0,0.0,0.0,43.46545,49.678608,100.0,100.0,1.3505,1.2505,95.0,95.0
2025-03-01 09:00:00+00:00,1.7544246,6.6668134,348.0,20.0,0.0,0.0,84.04034,94.9959,100.0,100.0,1.9004999,2.1005,94.0,93.0
2025-03-01 10:00:00+00:00,6.3159285,10.877432,331.0,338.0,1.0,0.0,142.95686,126.97274,100.0,100.0,2.7005,2.6505,93.0,92.0
2025-03-01 11:00:00+00:00,8.421238,12.982742,340.0,347.0,0.0,0.0,157.41699,76.90653,100.0,100.0,3.3505,2.6005,89.0,93.0
2025-03-01 12:00:00+00:00,13.333627,12.982742,338.0,317.0,0.0,0.0,139.39606,97.17216,100.0,100.0,3.5005002,2.9505,87.0,93.0
2025-03-01 13:00:00+00:00,14.035397,12.631857,356.0,316.0,0.0,0.0,106.62622,54.80565,100.0,100.0,3.7005,3.0005002,83.0,94.0
2025-03-01 14:00:00+00:00,10.877432,11.930088,353.0,316.0,0.0,0.0,60.15517,57.63648,100.0,100.0,3.6505,3.4505,85.0,92.0
2025-03-01 15:00:00+00:00,9.473893,12.2809725,347.0,310.0,0.0,0.0,41.112247,38.558296,99.0,100.0,3.4505,3.5005002,88.0,92.0
2025-03-01 16:00:00+00:00,13.333627,14.386281,325.0,312.0,0.0,0.0,17.346062,14.890788,100.0,100.0,3.3005002,3.3505,91.0,93.0
2025-03-01 17:00:00+00:00,10.877432,17.544245,319.0,340.0,0.0,0.0,0.0,0.0,100.0,100.0,3.2005,2.7505002,93.0,92.0
2025-03-01 18:00:00+00:00,18.246016,18.246016,334.0,6.0,0.0,0.0,0.0,0.0,100.0,71.0,2.8505,2.3505,95.0,93.0
2025-03-01 19:00:00+00:00,16.140705,16.842476,343.0,352.0,0.0,0.0,0.0,0.0,100.0,100.0,2.5005002,2.2005,94.0,94.0
2025-03-01 20:00:00+00:00,13.684512,12.631857,339.0,304.0,0.0,0.0,0.0,0.0,100.0,100.0,2.3005002,2.2005,94.0,93.0
2025-03-01 21:00:00+00:00,19.298672,12.982742,331.0,302.0,0.0,0.0,0.0,0.0,100.0,100.0,2.1505,2.1005,92.0,94.0
2025-03-01 22:00:00+00:00,15.438937,12.982742,320.0,291.0,0.0,0.0,0.0,0.0,94.0,100.0,1.8505,2.0005002,91.0,94.0
2025-03-01 23:00:00+00:00,11.930088,15.438937,305.0,294.0,0.0,0.0,0.0,0.0,100.0,100.0,1.2505,1.9004999,92.0,92.0
2025-03-02 00:00:00+00:00,20.00044,15.789822,318.0,286.0,0.0,0.0,0.0,0.0,100.0,100.0,1.3505,1.9504999,90.0,93.0
2025-03-02 01:00:00+00:00,15.438937,15.789822,287.0,278.0,0.0,0.0,0.0,0.0,100.0,100.0,1.3005,1.7005,92.0,92.0
2025-03-02 02:00:00+00:00,20.702211,16.49159,282.0,270.0,0.0,0.0,0.0,0.0,100.0,100.0,1.1504999,1.4004999,90.0,91.0
2025-03-02 03:00:00+00:00,17.193361,24.21106,264.0,272.0,0.0,0.0,0.0,0.0,100.0,100.0,0.90049994,1.3005,89.0,90.0
2025-03-02 04:00:00+00:00,18.596903,27.369024,250.0,260.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7005,1.0005,90.0,89.0
2025-03-02 05:00:00+00:00,17.193361,23.158405,241.0,255.0,0.0,0.0,0.0,0.0,100.0,100.0,0.6505,0.9505,91.0,88.0
2025-03-02 06:00:00+00:00,19.649555,24.21106,233.0,263.0,0.0,0.0,4.0,8.0,100.0,100.0,0.7005,1.0505,91.0,88.0
2025-03-02 07:00:00+00:00,21.40398,18.596903,238.0,279.0,0.0,0.0,20.0,22.999966,100.0,100.0,0.9505,1.3005,92.0,89.0
2025-03-02 08:00:00+00:00,24.21106,19.649555,253.0,270.0,0.0,0.0,37.97747,70.00865,100.0,100.0,1.2505,1.7005,93.0,89.0
2025-03-02 09:00:00+00:00,25.263714,22.80752,269.0,277.0,0.0,0.0,58.33366,103.98953,100.0,100.0,2.0005002,2.5505002,89.0,87.0
2025-03-02 10:00:00+00:00,22.105751,20.00044,269.0,277.0,0.0,0.0,81.715546,70.50016,100.0,100.0,2.8005002,2.8005002,86.0,87.0
2025-03-02 11:00:00+00:00,25.965485,18.947786,277.0,261.0,0.0,0.0,87.291954,58.971474,100.0,100.0,3.3505,3.0005002,83.0,88.0
