,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,15.349684,20.240198,39.289394,38.500687,0.0,0.0,0.0,0.0,100.0,100.0,2.137,2.237,97.0,97.0
2025-03-01 01:00:00+00:00,16.199999,19.296135,36.86999,36.656208,0.0,0.0,0.0,0.0,100.0,100.0,1.837,2.087,97.0,98.0
2025-03-01 02:00:00+00:00,16.179987,19.201874,32.275623,30.41101,0.0,0.0,0.0,0.0,100.0,100.0,1.637,2.087,98.0,98.0
2025-03-01 03:00:00+00:00,16.58346,19.483284,27.121223,27.511923,0.0,0.0,0.0,0.0,100.0,100.0,1.637,2.087,98.0,97.0
2025-03-01 04:00:00+00:00,18.388212,19.969458,23.051332,27.950872,0.0,0.0,0.0,0.0,100.0,100.0,1.637,2.137,98.0,97.0
2025-03-01 05:00:00+00:00,18.193361,18.678415,27.072004,27.552727,0.0,0.0,0.0,0.0,100.0,100.0,1.587,2.037,98.0,97.0
2025-03-01 06:00:00+00:00,17.10284,19.05281,30.343174,22.203527,0.0,0.0,1.0,1.0,100.0,100.0,1.537,2.187,98.0,96.0
2025-03-01 07:00:00+00:00,15.844089,19.06301,21.31798,10.885482,0.0,0.0,9.0,14.0,100.0,100.0,1.737,2.237,99.0,96.0
2025-03-01 08:00:00+00:00,14.145756,20.774214,14.743609,8.97255,0.10589981,1.2335091,18.8941,39.76649,100.0,100.0,2.287,2.287,98.0,95.0
2025-03-01 09:00:00+00:00,16.311613,20.883104,22.036283,0.9877458,1.6919518,4.0503387,47.30805,64.94966,100.0,100.0,2.837,2.637,95.0,91.0
2025-03-01 10:00:00+00:00,15.484185,20.16,17.592522,360.0,5.6953735,5.6953735,80.30463,80.30463,100.0,100.0,3.287,3.287,93.0,89.0
2025-03-01 11:00:00+00:00,17.518356,16.923828,9.462248,1.218852,6.567726,13.193718,88.432274,109.80628,99.0,88.0,3.687,4.137,91.0,85.0
2025-03-01 12:00:00+00:00,16.595179,18.671474,347.4712,340.86627,27.91536,50.890244,132.08464,149.10976,98.0,96.0,3.737,4.387,88.0,85.0
2025-03-01 13:00:00+00:00,19.022177,20.808498,330.5242,329.88635,13.258354,63.00638,100.741646,140.99362,93.0,84.0,3.687,4.337,88.0,84.0
2025-03-01 14:00:00+00:00,18.892282,20.3774,329.03632,327.99466,10.543884,56.62699,82.456116,117.37301,71.0,86.0,3.737,4.137,86.0,82.0
2025-03-01 15:00:00+00:00,18.218275,20.991426,330.39563,329.03632,12.310844,3.9228554,67.689156,51.077145,70.0,94.0,3.887,3.487,82.0,88.0
2025-03-01 16:00:00+00:00,20.68356,22.782625,328.5232,328.5705,5.667412,0.0,31.332588,17.0,86.0,79.0,3.587,3.237,84.0,93.0
2025-03-01 17:00:00+00:00,19.878391,19.67195,324.58286,325.4374,0.0,0.0,0.0,0.0,92.0,78.0,2.837,2.537,91.0,94.0
2025-03-01 18:00:00+00:00,17.283749,14.081477,305.67648,302.47116,0.0,0.0,0.0,0.0,95.0,98.0,2.587,2.437,91.0,92.0
2025-03-01 19:00:00+00:00,17.076298,15.725037,288.43503,285.94547,0.0,0.0,0.0,0.0,99.0,83.0,2.837,2.337,84.0,92.0
2025-03-01 20:00:00+00:00,19.493261,18.057508,274.23633,274.57382,0.0,0.0,0.0,0.0,100.0,86.0,2.687,2.637,84.0,90.0
2025-03-01 21:00:00+00:00,21.647945,19.09358,266.186,267.83896,0.0,0.0,0.0,0.0,100.0,94.0,2.687,2.787,83.0,85.0
2025-03-01 22:00:00+00:00,21.129885,18.448023,261.1797,264.40076,0.0,0.0,0.0,0.0,100.0,91.0,2.587,2.787,86.0,86.0
2025-03-01 23:00:00+00:00,23.143827,19.06301,254.66666,259.1145,0.0,0.0,0.0,0.0,100.0,100.0,2.637,2.737,86.0,87.0
2025-03-02 00:00:00+00:00,22.127556,18.58451,248.02544,248.40463,0.0,0.0,0.0,0.0,100.0,100.0,2.537,3.087,87.0,88.0
2025-03-02 01:00:00+00:00,22.476227,19.61587,238.09193,227.23119,0.0,0.0,0.0,0.0,100.0,100.0,2.787,3.337,91.0,90.0
2025-03-02 02:00:00+00:00,22.9724,19.881649,237.80429,222.06425,0.0,0.0,0.0,0.0,100.0,100.0,3.487,3.787,91.0,91.0
2025-03-02 03:00:00+00:00,25.40743,22.077717,262.67368,245.94266,0.0,0.0,0.0,0.0,99.0,100.0,3.137,3.837,92.0,91.0
2025-03-02 04:00:00+00:00,23.377836,18.532133,279.75235,262.18478,0.0,0.0,0.0,0.0,100.0,100.0,3.387,3.737,89.0,90.0
2025-03-02 05:00:00+00:00,26.282465,22.366402,283.4652,266.3087,0.0,0.0,0.0,0.0,100.0,100.0,3.387,3.737,88.0,88.0
2025-03-02 06:00:00+00:00,26.82906,23.535301,281.61145,276.1465,0.0,0.0,3.0,2.0,100.0,100.0,3.437,3.887,88.0,89.0
2025-03-02 07:00:00+00:00,26.525429,24.57511,277.80008,275.04236,0.24288559,0.0,25.757114,17.0,100.0,100.0,3.687,4.037,90.0,90.0
2025-03-02 08:00:00+00:00,26.437336,25.364037,276.25394,276.5197,1.9737854,1.7336388,46.026215,44.26636,100.0,100.0,3.937,4.437,89.0,90.0
2025-03-02 09:00:00+00:00,26.28986,27.153164,268.4307,276.08844,9.956093,7.1668625,87.04391,78.83314,100.0,100.0,4.237,4.687,90.0,89.0
2025-03-02 10:00:00+00:00,30.096085,28.001427,263.1301,278.13,17.29383,12.411522,113.70617,103.58848,100.0,100.0,4.587,4.887,91.0,90.0
2025-03-02 11:00:00+00:00,29.947151,25.86494,260.31128,278.8067,32.246216,16.613693,139.75378,118.38631,100.0,100.0,4.537,5.087,90.0,89.0
2025-03-02 12:00:00+00:00,32.76198,25.932495,269.37042,283.65045,44.05075,33.73613,146.94925,139.26387,99.0,100.0,4.887,4.987,91.0,90.0
2025-03-02 13:00:00+00:00,27.551172,23.14103,263.24652,275.35574,33.629745,17.390915,128.37025,109.609085,99.0,99.0,5.137,4.737,92.0,91.0
2025-03-02 14:00:00+00:00,25.683926,23.051247,264.36942,268.2101,23.720543,9.688408,102.27946,81.31159,80.0,99.0,4.837,4.587,92.0,91.0
2025-03-02 15:00:00+00:00,27.684914,22.862125,257.22876,262.76318,21.62378,13.662567,77.37622,70.33743,94.0,96.0,4.737,4.587,92.0,92.0
2025-03-02 16:00:00+00:00,27.103,24.798225,253.0091,260.81125,5.490963,9.195778,32.509037,35.804222,74.0,56.0,4.087,4.387,94.0,93.0
2025-03-02 17:00:00+00:00,26.901417,23.749088,254.47583,255.96373,0.0,0.0,0.0,0.0,79.0,17.0,3.887,4.137,96.0,94.0
2025-03-02 18:00:00+00:00,28.739187,26.476522,257.70474,258.23172,0.0,0.0,0.0,0.0,82.0,67.0,4.037,4.387,96.0,95.0
2025-03-02 19:00:00+00:00,30.293522,26.111792,266.59363,254.8141,0.0,0.0,0.0,0.0,53.0,83.0,3.787,4.437,96.0,95.0
2025-03-02 20:00:00+00:00,32.6411,25.501621,276.96817,251.0534,0.0,0.0,0.0,0.0,96.0,59.0,3.737,4.387,95.0,94.0
2025-03-02 21:00:00+00:00,31.845251,27.103,275.8394,253.0091,0.0,0.0,0.0,0.0,99.0,66.0,3.887,4.287,95.0,94.0
2025-03-02 22:00:00+00:00,32.59939,26.903828,276.3401,257.6375,0.0,0.0,0.0,0.0,96.0,87.0,4.137,4.237,94.0,93.0
2025-03-02 23:00:00+00:00,33.24498,26.795223,274.96964,263.82993,0.0,0.0,0.0,0.0,91.0,85.0,4.087,4.287,93.0,93.0
2025-03-03 00:00:00+00:00,34.711544,33.97187,275.35574,279.7617,0.0,0.0,0.0,0.0,92.0,71.0,4.037,4.387,93.0,92.0
2025-03-03 01:00:00+00:00,36.145508,35.945957,275.14267,277.48077,0.0,0.0,0.0,0.0,74.0,64.0,3.937,4.287,92.0,92.0
2025-03-03 02:00:00+00:00,40.155735,36.40275,275.6594,278.53067,0.0,0.0,0.0,0.0,47.0,52.0,3.887,4.187,92.0,93.0
2025-03-03 03:00:00+00:00,39.299404,37.52471,273.15063,278.82965,0.0,0.0,0.0,0.0,98.0,100.0,3.737,4.087,93.0,90.0
2025-03-03 04:00:00+00:00,40.091137,36.115017,274.63538,274.57382,0.0,0.0,0.0,0.0,100.0,100.0,3.737,4.087,92.0,93.0
2025-03-03 05:00:00+00:00,45.92364,42.894417,275.39764,272.88635,0.0,0.0,0.0,0.0,100.0,100.0,3.637,3.987,91.0,91.0
2025-03-03 06:00:00+00:00,43.9436,42.084602,271.87784,280.34863,0.0,0.0,7.0,5.0,100.0,100.0,3.737,3.937,90.0,90.0
