,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,15.124284,11.212135,91.3639,95.52745,0.0,0.0,0.0,0.0,100.0,100.0,2.1175,2.5175,95.0,95.0
2025-03-01 01:00:00+00:00,15.39184,12.074766,79.21575,79.69521,0.0,0.0,0.0,0.0,100.0,100.0,1.9175,2.4175,96.0,93.0
2025-03-01 02:00:00+00:00,17.377226,12.413476,76.827446,73.14152,0.0,0.0,0.0,0.0,100.0,100.0,1.6675,2.2675,98.0,94.0
2025-03-01 03:00:00+00:00,16.45007,12.9249525,66.80139,77.125,0.0,0.0,0.0,0.0,100.0,100.0,1.2674999,2.0175,98.0,96.0
2025-03-01 04:00:00+00:00,14.8257065,11.090103,60.94549,76.865974,0.0,0.0,0.0,0.0,100.0,100.0,1.1175,1.6675,98.0,97.0
2025-03-01 05:00:00+00:00,15.379206,10.163227,57.42595,67.06787,0.0,0.0,0.0,0.0,100.0,100.0,1.1675,1.6675,98.0,96.0
2025-03-01 06:00:00+00:00,15.986593,10.24578,54.16227,71.564964,0.0,0.0,2.0,5.0,100.0,100.0,1.1175,1.8175,98.0,95.0
2025-03-01 07:00:00+00:00,14.904173,7.7879906,52.853233,56.3099,0.0,0.31836128,11.0,27.681639,100.0,100.0,1.3675,1.8675,98.0,95.0
2025-03-01 08:00:00+00:00,11.246759,6.12,50.194473,28.072395,0.45248795,3.7727966,28.547512,57.227203,100.0,100.0,1.7175,2.3174999,98.0,96.0
2025-03-01 09:00:00+00:00,9.178235,7.42159,48.179924,345.9637,1.4182892,1.0484657,44.58171,38.951534,100.0,100.0,2.5175,2.1675,98.0,97.0
2025-03-01 10:00:00+00:00,8.557102,8.311245,22.249071,342.34976,2.0813408,2.3370743,55.91866,58.662926,100.0,100.0,3.1175,2.4175,97.0,95.0
2025-03-01 11:00:00+00:00,8.654986,10.163227,16.927603,337.06787,1.5353241,2.6049004,50.464676,63.3951,100.0,100.0,3.6175,2.6675,96.0,94.0
2025-03-01 12:00:00+00:00,10.464798,12.245293,3.9451082,335.69547,1.2522736,2.2881775,44.747726,58.711823,100.0,100.0,3.4675,2.9675,96.0,94.0
2025-03-01 13:00:00+00:00,10.853866,12.879752,354.2895,333.43503,1.5260658,0.84615326,46.473934,35.153847,100.0,100.0,3.4175,2.5674999,95.0,94.0
2025-03-01 14:00:00+00:00,15.484185,12.7279215,342.40747,331.26028,0.61426926,0.26615715,31.38573,21.733843,100.0,100.0,3.3675,2.7675,95.0,95.0
2025-03-01 15:00:00+00:00,15.141414,13.089354,331.6071,328.4958,0.0,0.0,19.0,18.0,100.0,100.0,2.7175,2.2675,94.0,95.0
2025-03-01 16:00:00+00:00,18.514643,17.555307,333.43503,331.8585,0.0,0.0,3.0,5.0,100.0,100.0,2.3174999,2.1175,95.0,95.0
2025-03-01 17:00:00+00:00,18.11841,19.486609,339.04413,334.85526,0.0,0.0,0.0,0.0,100.0,100.0,2.0674999,2.1675,97.0,95.0
