,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,12.768586,7.9932976,68.498505,82.234924,0.0,0.0,0.0,0.0,100.0,100.0,0.724,2.024,98.0,99.0
2025-03-01 01:00:00+00:00,14.021525,9.107359,60.802605,71.564964,0.0,0.0,0.0,0.0,100.0,100.0,0.724,1.874,98.0,99.0
2025-03-01 02:00:00+00:00,15.496736,10.137692,59.264584,73.49557,0.0,0.0,0.0,0.0,100.0,100.0,0.62399995,1.7739999,98.0,99.0
2025-03-01 03:00:00+00:00,15.876775,9.085988,57.030594,56.3099,0.0,0.0,0.0,0.0,100.0,100.0,0.524,1.574,98.0,99.0
2025-03-01 04:00:00+00:00,15.30741,7.8954163,48.814175,46.8476,0.0,0.0,0.0,0.0,100.0,100.0,0.574,1.374,98.0,99.0
2025-03-01 05:00:00+00:00,16.039202,6.638072,45.909298,49.398785,0.0,0.0,0.0,0.0,100.0,100.0,0.67399997,1.2739999,98.0,98.0
2025-03-01 06:00:00+00:00,15.30741,7.7879906,48.814175,33.6901,0.0,0.0,2.0,2.0,100.0,100.0,0.62399995,0.92399997,98.0,98.0
2025-03-01 07:00:00+00:00,14.565548,8.12197,39.98684,12.804273,0.052700043,0.0,23.9473,12.0,100.0,100.0,0.724,0.92399997,97.0,97.0
2025-03-01 08:00:00+00:00,13.217443,9.422101,29.357658,353.41815,1.4861717,0.28644562,42.51383,24.713554,100.0,100.0,0.974,1.124,97.0,97.0
2025-03-01 09:00:00+00:00,11.525623,10.483357,14.470333,344.05453,2.5103111,0.71757126,55.48969,32.28243,100.0,100.0,1.624,1.2739999,97.0,96.0
2025-03-01 10:00:00+00:00,10.464798,13.358861,3.9451082,345.9637,3.6842117,0.9866562,69.31579,39.013344,100.0,100.0,1.924,1.5239999,97.0,96.0
2025-03-01 11:00:00+00:00,10.948973,14.408997,350.53775,347.00537,2.5436897,0.9421768,62.45631,39.057823,100.0,100.0,2.274,1.624,97.0,96.0
2025-03-01 12:00:00+00:00,13.358861,14.494192,345.9637,345.61856,3.2961807,0.9248886,67.70382,38.07511,100.0,100.0,2.574,2.324,95.0,97.0
2025-03-01 13:00:00+00:00,13.1041975,17.227419,344.05453,349.15973,1.3846817,1.3206482,44.61532,43.67935,100.0,100.0,2.574,2.574,94.0,95.0
2025-03-01 14:00:00+00:00,15.034041,15.111424,343.3007,347.61926,2.2133293,6.20047,49.78667,68.79953,100.0,100.0,2.574,2.774,94.0,90.0
2025-03-01 15:00:00+00:00,12.181625,16.167967,341.02948,348.4399,0.0,11.325779,19.0,62.67422,100.0,96.0,2.674,2.824,95.0,89.0
2025-03-01 16:00:00+00:00,14.205182,14.345898,351.2539,342.47433,0.0,0.0,4.0,13.0,100.0,97.0,2.674,2.774,93.0,86.0
2025-03-01 17:00:00+00:00,13.363711,13.797913,4.6353807,344.87595,0.0,0.0,0.0,0.0,100.0,98.0,2.274,2.324,93.0,91.0
2025-03-01 18:00:00+00:00,9.007196,12.43434,357.70944,337.8905,0.0,0.0,0.0,0.0,100.0,100.0,2.024,1.674,96.0,94.0
2025-03-01 19:00:00+00:00,6.162207,10.00256,353.29025,329.74365,0.0,0.0,0.0,0.0,100.0,100.0,1.924,1.424,96.0,93.0
2025-03-01 20:00:00+00:00,3.319036,10.799999,319.39877,306.86996,0.0,0.0,0.0,0.0,100.0,100.0,1.874,1.224,97.0,95.0
2025-03-01 21:00:00+00:00,6.849467,16.279802,273.01273,288.03436,0.0,0.0,0.0,0.0,100.0,98.0,1.724,1.324,96.0,94.0
2025-03-01 22:00:00+00:00,15.496736,16.516901,267.33704,290.40997,0.0,0.0,0.0,0.0,100.0,70.0,1.474,0.974,96.0,95.0
2025-03-01 23:00:00+00:00,18.751125,16.766108,273.3018,284.93146,0.0,0.0,0.0,0.0,100.0,56.0,0.92399997,0.67399997,95.0,96.0
2025-03-02 00:00:00+00:00,19.803272,17.373497,268.9584,264.05322,0.0,0.0,0.0,0.0,100.0,95.0,0.824,0.474,92.0,96.0
2025-03-02 01:00:00+00:00,19.296133,18.94024,255.96373,261.2539,0.0,0.0,0.0,0.0,100.0,100.0,0.724,0.524,93.0,97.0
2025-03-02 02:00:00+00:00,19.855558,17.309973,247.61981,253.0724,0.0,0.0,0.0,0.0,100.0,100.0,0.574,0.774,93.0,94.0
2025-03-02 03:00:00+00:00,20.730501,21.53089,249.67677,249.44386,0.0,0.0,0.0,0.0,100.0,100.0,0.62399995,0.87399995,93.0,94.0
2025-03-02 04:00:00+00:00,20.833395,23.000591,251.87805,252.69939,0.0,0.0,0.0,0.0,100.0,100.0,0.724,1.074,94.0,94.0
2025-03-02 05:00:00+00:00,20.447239,20.288164,243.88614,242.52565,0.0,0.0,0.0,0.0,100.0,100.0,0.974,1.374,94.0,94.0
2025-03-02 06:00:00+00:00,19.576189,20.991426,237.77127,239.0363,0.0,0.0,5.0,6.0,100.0,100.0,1.224,1.624,95.0,94.0
2025-03-02 07:00:00+00:00,21.273533,23.18579,246.0375,244.23071,0.0,0.5255718,21.0,29.474428,100.0,100.0,1.574,2.074,94.0,92.0
2025-03-02 08:00:00+00:00,27.343414,26.882141,260.9098,262.30405,3.4699745,3.8260078,55.530025,57.173992,100.0,100.0,2.174,2.474,89.0,90.0
2025-03-02 09:00:00+00:00,27.153164,27.362366,263.91156,269.24615,13.873116,9.869308,97.126884,88.13069,100.0,100.0,2.674,3.024,85.0,87.0
2025-03-02 10:00:00+00:00,27.908709,27.36947,263.33344,268.49258,34.058685,21.64299,134.94131,121.35701,100.0,100.0,3.624,3.724,84.0,85.0
2025-03-02 11:00:00+00:00,30.096085,27.397867,263.1301,273.01273,20.757095,19.607979,125.242905,123.39202,100.0,100.0,4.174,4.374,84.0,84.0
2025-03-02 12:00:00+00:00,34.56,28.496904,270.0,273.6214,26.673874,34.169785,130.32613,137.83022,100.0,100.0,4.974,4.924,83.0,84.0
2025-03-02 13:00:00+00:00,36.537785,29.122198,275.65433,278.53067,21.594925,44.64891,113.405075,132.35109,100.0,100.0,5.524,5.374,82.0,82.0
2025-03-02 14:00:00+00:00,29.268686,26.700743,265.06088,273.8654,22.397682,47.15457,97.60232,111.84543,100.0,100.0,5.674,5.574,82.0,83.0
2025-03-02 15:00:00+00:00,29.871325,23.535301,257.4712,263.85345,10.025673,36.211014,61.974327,78.78899,97.0,100.0,5.074,4.974,84.0,84.0
2025-03-02 16:00:00+00:00,30.216421,26.6327,254.80469,260.66507,2.7099113,3.1082325,23.290089,23.891768,100.0,100.0,4.424,4.324,86.0,86.0
2025-03-02 17:00:00+00:00,32.058193,28.036118,257.68057,257.3914,0.0,0.0,0.0,0.0,83.0,88.0,3.774,3.524,89.0,90.0
2025-03-02 18:00:00+00:00,33.326748,29.337238,259.41843,255.7932,0.0,0.0,0.0,0.0,100.0,75.0,3.274,2.874,89.0,92.0
2025-03-02 19:00:00+00:00,33.790176,33.26252,255.81567,260.028,0.0,0.0,0.0,0.0,100.0,95.0,2.924,2.674,91.0,93.0
2025-03-02 20:00:00+00:00,32.933605,29.175552,254.14056,254.24875,0.0,0.0,0.0,0.0,100.0,100.0,2.824,2.624,93.0,95.0
2025-03-02 21:00:00+00:00,30.173496,30.652895,252.64589,257.10626,0.0,0.0,0.0,0.0,100.0,99.0,2.974,2.724,95.0,95.0
2025-03-02 22:00:00+00:00,28.038431,30.173496,254.3577,252.64589,0.0,0.0,0.0,0.0,99.0,95.0,3.174,2.774,96.0,96.0
2025-03-02 23:00:00+00:00,26.983194,31.006012,256.89078,254.51144,0.0,0.0,0.0,0.0,94.0,100.0,3.374,3.024,96.0,96.0
2025-03-03 00:00:00+00:00,26.576681,29.370352,261.43094,258.6901,0.0,0.0,0.0,0.0,97.0,100.0,2.724,3.324,96.0,96.0
2025-03-03 01:00:00+00:00,26.552288,29.522196,257.4712,254.43843,0.0,0.0,0.0,0.0,89.0,100.0,2.724,3.374,96.0,95.0
2025-03-03 02:00:00+00:00,27.112564,29.522196,259.28693,254.43843,0.0,0.0,0.0,0.0,100.0,100.0,2.774,3.224,96.0,94.0
2025-03-03 03:00:00+00:00,26.309572,29.44307,253.30067,258.0031,0.0,0.0,0.0,0.0,95.0,100.0,2.424,3.174,96.0,94.0
2025-03-03 04:00:00+00:00,27.682571,29.337238,249.44386,255.7932,0.0,0.0,0.0,0.0,99.0,100.0,2.124,3.024,96.0,93.0
2025-03-03 05:00:00+00:00,28.460497,31.421213,251.56496,251.98013,0.0,0.0,0.0,0.0,100.0,100.0,2.224,2.874,94.0,92.0
2025-03-03 06:00:00+00:00,29.723444,32.24161,253.10126,263.58926,0.0,0.0,9.0,7.0,100.0,100.0,2.474,2.774,92.0,92.0
2025-03-03 07:00:00+00:00,31.450073,35.945957,254.05453,262.5192,0.0,0.0,21.0,23.0,100.0,100.0,2.774,2.924,93.0,92.0
2025-03-03 08:00:00+00:00,33.818928,37.731365,258.33127,262.8751,0.7010498,0.8210068,33.29895,35.178993,100.0,100.0,3.124,3.274,89.0,91.0
2025-03-03 09:00:00+00:00,34.979332,38.921646,261.11942,267.34937,2.427555,2.227768,55.572445,53.772232,100.0,100.0,3.424,3.624,87.0,90.0
2025-03-03 10:00:00+00:00,40.06365,40.321606,265.87778,269.48846,2.561554,3.406479,61.438446,68.59352,100.0,100.0,3.824,4.124,87.0,89.0
2025-03-03 11:00:00+00:00,41.0968,44.66322,266.98727,268.15244,3.3220215,9.107155,70.67798,99.892845,100.0,100.0,4.074,4.524,86.0,85.0
2025-03-03 12:00:00+00:00,41.065254,44.35165,267.99048,266.74286,3.2680435,19.052864,68.73196,120.947136,100.0,100.0,4.174,4.924,84.0,83.0
2025-03-03 13:00:00+00:00,42.894417,43.921474,267.11365,269.5304,4.491478,11.203835,71.50852,95.796165,100.0,100.0,4.274,4.824,83.0,83.0
2025-03-03 14:00:00+00:00,44.30341,43.561485,268.13742,269.5265,2.3816795,7.6014404,51.61832,74.39856,100.0,100.0,4.474,4.624,83.0,82.0
2025-03-03 15:00:00+00:00,41.815826,43.61352,267.03912,267.16125,0.22579575,5.8091583,26.774204,55.19084,100.0,99.0,4.474,4.474,86.0,83.0
2025-03-03 16:00:00+00:00,41.406258,41.76621,269.00366,269.01227,0.0,0.0,5.0,15.0,100.0,100.0,4.224,4.374,90.0,85.0
2025-03-03 17:00:00+00:00,36.016193,38.18716,268.28168,267.83896,0.0,0.0,0.0,0.0,100.0,100.0,4.174,4.374,91.0,86.0
2025-03-03 18:00:00+00:00,34.38895,36.06474,259.74887,266.56644,0.0,0.0,0.0,0.0,100.0,99.0,4.074,4.074,90.0,89.0
2025-03-03 19:00:00+00:00,32.654995,31.367552,255.96373,260.75397,0.0,0.0,0.0,0.0,99.0,99.0,3.524,3.874,90.0,90.0
2025-03-03 20:00:00+00:00,35.06999,34.245445,252.68097,257.8632,0.0,0.0,0.0,0.0,100.0,100.0,3.224,3.824,93.0,92.0
2025-03-03 21:00:00+00:00,35.71265,33.541878,255.40338,257.6046,0.0,0.0,0.0,0.0,100.0,100.0,3.824,3.774,92.0,94.0
2025-03-03 22:00:00+00:00,33.93179,34.38895,252.71841,259.74887,0.0,0.0,0.0,0.0,100.0,100.0,4.274,3.924,89.0,94.0
2025-03-03 23:00:00+00:00,33.00436,33.68069,256.1153,259.53088,0.0,0.0,0.0,0.0,100.0,100.0,4.274,4.224,89.0,89.0
2025-03-04 00:00:00+00:00,34.875435,33.39473,262.2882,258.81125,0.0,0.0,0.0,0.0,100.0,100.0,4.524,4.324,88.0,87.0
2025-03-04 01:00:00+00:00,35.90086,32.55363,263.08887,259.80856,0.0,0.0,0.0,0.0,100.0,100.0,4.574,4.374,87.0,86.0
2025-03-04 02:00:00+00:00,37.221283,33.04361,265.00635,262.48795,0.0,0.0,0.0,0.0,100.0,100.0,4.724,4.424,86.0,87.0
2025-03-04 03:00:00+00:00,33.151287,37.483242,267.5105,267.24756,0.0,0.0,0.0,0.0,100.0,100.0,4.724,4.324,85.0,90.0
2025-03-04 04:00:00+00:00,34.92742,36.361782,268.81885,269.43274,0.0,0.0,0.0,0.0,100.0,100.0,4.624,4.324,87.0,89.0
2025-03-04 05:00:00+00:00,33.24498,35.32589,265.03033,267.07935,0.0,0.0,0.0,0.0,100.0,100.0,4.524,4.274,87.0,88.0
2025-03-04 06:00:00+00:00,37.10795,35.28,272.2239,270.0,0.0,0.0,3.0,4.0,100.0,100.0,4.424,4.174,87.0,87.0
