,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,13.527572,15.575981,64.79892,56.3099,0.0,0.0,0.0,0.0,100.0,100.0,0.776,1.176,99.0,99.0
2025-03-01 01:00:00+00:00,12.594856,15.629971,59.03632,51.546265,0.0,0.0,0.0,0.0,100.0,100.0,0.776,1.276,98.0,98.0
2025-03-01 02:00:00+00:00,11.384198,15.021105,55.304783,45.970932,0.0,0.0,0.0,0.0,100.0,100.0,0.82600003,1.2260001,98.0,98.0
2025-03-01 03:00:00+00:00,11.753876,15.03835,49.969803,47.91091,0.0,0.0,0.0,0.0,100.0,100.0,0.776,1.276,98.0,98.0
2025-03-01 04:00:00+00:00,12.096214,14.773164,36.528946,43.02507,0.0,0.0,0.0,0.0,100.0,100.0,0.82600003,1.326,98.0,97.0
2025-03-01 05:00:00+00:00,13.217443,13.755579,29.357658,42.878906,0.0,0.0,0.0,0.0,100.0,100.0,0.82600003,1.426,98.0,96.0
2025-03-01 06:00:00+00:00,13.783817,9.504273,40.763515,24.623547,0.0,0.0,2.0,2.0,100.0,100.0,0.976,1.526,96.0,96.0
2025-03-01 07:00:00+00:00,13.397612,9.9571085,30.699654,12.528798,0.2906704,0.0,26.70933,15.0,100.0,100.0,1.176,1.7260001,96.0,95.0
2025-03-01 08:00:00+00:00,11.298495,9.47012,22.47948,8.746089,1.387455,0.81778336,41.612545,35.182217,100.0,100.0,1.4760001,2.126,95.0,94.0
2025-03-01 09:00:00+00:00,11.165805,9.0,20.772345,360.0,0.99769974,4.6658173,38.0023,69.33418,100.0,100.0,1.626,2.426,95.0,93.0
2025-03-01 10:00:00+00:00,11.503113,11.525623,20.136398,358.21014,7.9321365,4.5287704,91.06786,75.47123,100.0,100.0,2.276,2.776,93.0,91.0
2025-03-01 11:00:00+00:00,11.720751,12.6462,10.61961,355.10098,19.655907,1.5637093,124.34409,51.43629,100.0,100.0,2.976,2.976,89.0,91.0
2025-03-01 12:00:00+00:00,11.570515,8.311245,354.64426,355.03033,14.856972,12.739418,113.14303,108.26058,100.0,100.0,3.576,3.926,86.0,85.0
2025-03-01 13:00:00+00:00,11.609651,11.27553,352.87506,343.3007,11.947205,3.348114,98.052795,64.651886,100.0,100.0,3.876,3.676,84.0,88.0
2025-03-01 14:00:00+00:00,14.84318,10.739833,345.9637,346.42953,13.003777,2.4770584,86.99622,52.52294,100.0,100.0,4.126,3.676,83.0,89.0
2025-03-01 15:00:00+00:00,10.739833,9.47012,346.42953,351.2539,0.62672806,2.2346764,32.373272,43.765324,100.0,99.0,4.026,4.426,84.0,82.0
2025-03-01 16:00:00+00:00,11.631956,12.620554,338.19852,356.72958,0.0,0.195261,5.0,17.804739,100.0,100.0,3.676,3.826,89.0,85.0
2025-03-01 17:00:00+00:00,11.885453,11.165805,324.86572,358.15244,0.0,0.0,0.0,0.0,99.0,100.0,2.876,3.276,93.0,87.0
2025-03-01 18:00:00+00:00,14.76439,13.044722,315.0001,309.40063,0.0,0.0,0.0,0.0,93.0,99.0,2.476,2.676,95.0,94.0
2025-03-01 19:00:00+00:00,16.299694,19.513195,313.2101,299.87592,0.0,0.0,0.0,0.0,97.0,97.0,1.826,2.276,96.0,95.0
2025-03-01 20:00:00+00:00,18.391737,19.513195,310.23627,307.5042,0.0,0.0,0.0,0.0,100.0,99.0,1.4760001,2.076,95.0,95.0
2025-03-01 21:00:00+00:00,19.576189,18.218275,302.22873,299.60434,0.0,0.0,0.0,0.0,98.0,98.0,1.676,1.4760001,94.0,95.0
