,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,11.384198,14.291592,55.304783,40.9143,0.0,0.0,0.0,0.0,100.0,100.0,0.33699998,1.337,99.0,100.0
2025-03-01 01:00:00+00:00,11.709688,13.551501,44.999897,39.61066,0.0,0.0,0.0,0.0,100.0,100.0,0.33699998,1.337,99.0,100.0
2025-03-01 02:00:00+00:00,12.096214,13.392774,36.528946,36.253937,0.0,0.0,0.0,0.0,100.0,100.0,0.33699998,1.287,99.0,100.0
2025-03-01 03:00:00+00:00,12.313894,13.53236,37.875042,28.610369,0.0,0.0,0.0,0.0,100.0,100.0,0.287,1.037,99.0,100.0
2025-03-01 04:00:00+00:00,13.089354,13.708391,31.504223,23.198618,0.0,0.0,0.0,0.0,100.0,100.0,0.287,0.987,99.0,100.0
2025-03-01 05:00:00+00:00,13.527572,12.904882,25.201094,22.988754,0.0,0.0,0.0,0.0,100.0,100.0,0.33699998,0.88699996,99.0,99.0
2025-03-01 06:00:00+00:00,12.904882,15.034041,30.1413,16.699326,0.0,0.0,3.0,1.0,100.0,100.0,0.387,0.687,99.0,99.0
2025-03-01 07:00:00+00:00,11.91812,15.815435,25.016869,11.821464,0.0,0.0,16.0,7.0,100.0,100.0,0.537,0.737,99.0,99.0
2025-03-01 08:00:00+00:00,9.6932955,16.263872,15.068549,5.0795207,0.4200306,0.07632351,28.57997,15.9236765,100.0,100.0,0.787,0.88699996,99.0,99.0
2025-03-01 09:00:00+00:00,8.707238,16.203999,7.12493,1.2730018,1.2420845,0.5988159,41.757915,29.401184,100.0,100.0,1.137,1.237,99.0,98.0
2025-03-01 10:00:00+00:00,10.853866,16.919998,5.7105074,360.0,2.7013893,1.1889648,61.29861,42.811035,100.0,100.0,1.587,1.687,99.0,97.0
2025-03-01 11:00:00+00:00,11.183201,15.84,356.3087,360.0,3.1582642,1.7534294,67.841736,53.24657,100.0,100.0,1.887,2.187,98.0,95.0
2025-03-01 12:00:00+00:00,12.7279215,15.629972,351.87,352.0566,10.288002,1.5400276,99.712,49.459972,100.0,100.0,2.137,2.387,96.0,96.0
2025-03-01 13:00:00+00:00,15.192682,14.759999,346.293,347.3196,8.359772,7.2258835,86.64023,82.77412,100.0,98.0,2.387,2.887,94.0,91.0
2025-03-01 14:00:00+00:00,17.114204,15.256526,345.3791,340.70987,2.5393486,42.591278,52.46065,110.40872,100.0,85.0,2.387,3.237,94.0,87.0
2025-03-01 15:00:00+00:00,14.05845,13.32,346.67545,341.07526,0.17243958,7.912636,25.82756,59.087364,100.0,83.0,2.187,3.087,95.0,85.0
2025-03-01 16:00:00+00:00,13.797912,12.224107,352.50424,346.373,0.0,2.3297062,14.0,23.670294,100.0,100.0,1.937,2.487,97.0,91.0
2025-03-01 17:00:00+00:00,10.587917,7.9526596,342.18103,354.80566,0.0,0.0,0.0,0.0,99.0,100.0,1.437,1.987,98.0,95.0
2025-03-01 18:00:00+00:00,9.085988,14.182355,303.6901,293.9625,0.0,0.0,0.0,0.0,98.0,100.0,1.187,1.787,97.0,92.0
2025-03-01 19:00:00+00:00,15.192682,16.854767,283.70697,289.9832,0.0,0.0,0.0,0.0,79.0,100.0,0.787,1.437,96.0,92.0
2025-03-01 20:00:00+00:00,17.555305,15.725037,285.46127,285.94547,0.0,0.0,0.0,0.0,96.0,81.0,0.237,0.937,97.0,96.0
2025-03-01 21:00:00+00:00,16.981165,16.595179,274.8644,273.73132,0.0,0.0,0.0,0.0,100.0,81.0,0.487,0.587,94.0,96.0
2025-03-01 22:00:00+00:00,18.709612,20.892412,258.9063,268.02512,0.0,0.0,0.0,0.0,100.0,96.0,0.487,0.43699998,95.0,98.0
2025-03-01 23:00:00+00:00,19.809813,20.907913,250.9064,267.03912,0.0,0.0,0.0,0.0,100.0,100.0,0.487,0.737,96.0,95.0
2025-03-02 00:00:00+00:00,20.140705,20.265795,245.72557,257.692,0.0,0.0,0.0,0.0,100.0,99.0,0.487,0.737,93.0,95.0
2025-03-02 01:00:00+00:00,21.734581,20.60823,243.43501,250.61539,0.0,0.0,0.0,0.0,100.0,100.0,0.487,0.987,94.0,95.0
