,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,16.299694,14.707222,120.529625,111.541046,0.0,0.0,0.0,0.0,100.0,100.0,1.198,1.398,96.0,95.0
2025-03-01 01:00:00+00:00,14.81259,13.75558,115.94224,96.00892,0.0,0.0,0.0,0.0,100.0,100.0,0.948,1.048,97.0,97.0
2025-03-01 02:00:00+00:00,14.003029,14.205182,107.96923,98.74608,0.0,0.0,0.0,0.0,100.0,100.0,0.748,0.848,98.0,98.0
2025-03-01 03:00:00+00:00,14.471821,12.682018,95.7105,96.519714,0.0,0.0,0.0,0.0,100.0,100.0,0.748,0.79800004,97.0,98.0
2025-03-01 04:00:00+00:00,14.113653,11.659777,95.85592,98.88058,0.0,0.0,0.0,0.0,100.0,100.0,0.698,0.748,97.0,98.0
2025-03-01 05:00:00+00:00,12.287555,10.1376915,95.04236,96.11541,0.0,0.0,0.0,0.0,100.0,100.0,0.748,0.79800004,97.0,97.0
2025-03-01 06:00:00+00:00,12.964998,10.853866,91.59111,95.7105,0.0,0.0,3.0,4.0,100.0,100.0,0.79800004,0.848,96.0,96.0
2025-03-01 07:00:00+00:00,10.805999,9.178235,91.90912,101.3099,0.0,0.2879715,18.0,27.712029,100.0,100.0,0.898,1.048,96.0,96.0
2025-03-01 08:00:00+00:00,8.287822,6.0347,92.4895,107.35411,1.3384209,2.2855034,41.66158,49.714497,100.0,100.0,1.148,1.398,95.0,96.0
2025-03-01 09:00:00+00:00,6.9899354,2.0991426,101.88863,120.96369,4.138527,3.0585594,67.86147,60.94144,100.0,100.0,1.3479999,1.548,94.0,96.0
2025-03-01 10:00:00+00:00,2.9024127,2.4149535,97.12492,296.56497,3.7656784,5.1862793,71.23432,79.81372,100.0,100.0,1.4979999,1.798,94.0,95.0
2025-03-01 11:00:00+00:00,2.4149535,6.638072,26.564985,310.60123,6.796013,4.806572,90.20399,80.19343,100.0,100.0,1.798,1.9979999,93.0,95.0
2025-03-01 12:00:00+00:00,3.96,9.178235,360.0,318.1799,6.7521744,1.8840866,87.247826,54.115913,100.0,100.0,2.148,2.0479999,90.0,94.0
2025-03-01 13:00:00+00:00,5.4477882,10.086427,352.40543,325.17545,2.599846,2.3921013,57.400154,55.6079,100.0,100.0,2.148,2.148,91.0,93.0
2025-03-01 14:00:00+00:00,7.754637,14.512064,338.19852,330.25522,2.158905,1.8188591,48.841095,46.18114,100.0,100.0,2.198,2.2979999,92.0,93.0
2025-03-01 15:00:00+00:00,6.763786,11.435313,334.79892,331.8215,0.0053482056,4.030514,22.994652,46.969486,100.0,100.0,2.148,2.748,93.0,91.0
2025-03-01 16:00:00+00:00,6.439876,10.948973,333.43503,316.33215,0.0,0.0,4.0,6.0,100.0,100.0,1.9979999,2.498,95.0,94.0
2025-03-01 17:00:00+00:00,7.8954163,12.768586,313.1524,319.574,0.0,0.0,0.0,0.0,100.0,100.0,1.798,1.948,96.0,97.0
2025-03-01 18:00:00+00:00,9.659814,12.031756,296.56497,308.92755,0.0,0.0,0.0,0.0,100.0,100.0,1.698,1.648,97.0,98.0
2025-03-01 19:00:00+00:00,14.255272,13.392774,315.0001,306.25394,0.0,0.0,0.0,0.0,100.0,100.0,1.398,1.448,99.0,99.0
2025-03-01 20:00:00+00:00,16.87398,15.546833,326.3099,312.18436,0.0,0.0,0.0,0.0,100.0,100.0,1.0979999,1.198,98.0,99.0
2025-03-01 21:00:00+00:00,15.778516,17.0763,325.2221,325.30478,0.0,0.0,0.0,0.0,100.0,100.0,0.99799997,1.148,98.0,98.0
2025-03-01 22:00:00+00:00,15.546833,15.815435,317.8156,318.69147,0.0,0.0,0.0,0.0,100.0,98.0,0.79800004,1.048,99.0,96.0
2025-03-01 23:00:00+00:00,19.174856,15.580141,309.66782,310.31403,0.0,0.0,0.0,0.0,100.0,100.0,0.748,0.748,98.0,95.0
2025-03-02 00:00:00+00:00,15.315873,15.021105,299.57773,314.02905,0.0,0.0,0.0,0.0,100.0,98.0,0.598,0.79800004,96.0,96.0
2025-03-02 01:00:00+00:00,14.145756,12.074766,284.74362,296.56497,0.0,0.0,0.0,0.0,100.0,100.0,0.49800003,0.54800004,96.0,96.0
2025-03-02 02:00:00+00:00,12.371645,12.849528,278.36578,281.3099,0.0,0.0,0.0,0.0,100.0,100.0,0.448,0.448,95.0,97.0
2025-03-02 03:00:00+00:00,10.823973,12.287555,273.814,275.04236,0.0,0.0,0.0,0.0,100.0,100.0,0.398,0.49800003,96.0,94.0
2025-03-02 04:00:00+00:00,10.239453,11.792404,259.8754,257.66092,0.0,0.0,0.0,0.0,100.0,100.0,0.448,0.54800004,95.0,94.0
2025-03-02 05:00:00+00:00,16.676977,15.042659,256.2637,248.96242,0.0,0.0,0.0,0.0,100.0,100.0,0.54800004,0.698,95.0,95.0
2025-03-02 06:00:00+00:00,18.64369,18.681883,259.9921,244.91644,0.0,0.0,6.0,4.0,100.0,100.0,0.49800003,0.79800004,93.0,94.0
2025-03-02 07:00:00+00:00,16.1198,20.65848,246.29735,247.4569,0.0,0.0,21.0,15.0,100.0,100.0,0.598,0.948,92.0,94.0
2025-03-02 08:00:00+00:00,19.652176,23.358425,241.55717,245.4099,2.2449684,2.496132,49.75503,51.50387,100.0,100.0,0.898,1.298,92.0,92.0
2025-03-02 09:00:00+00:00,24.48,24.675106,241.92761,246.80139,2.885315,8.463615,60.114685,86.536385,100.0,100.0,1.048,1.698,92.0,89.0
2025-03-02 10:00:00+00:00,25.282152,26.33911,250.0168,259.76526,2.7928314,5.22081,64.20717,80.77919,100.0,100.0,1.298,1.8479999,92.0,90.0
2025-03-02 11:00:00+00:00,25.744402,22.963936,249.53764,256.39944,3.1999588,6.100914,69.80004,87.899086,100.0,100.0,1.4979999,1.9979999,93.0,89.0
2025-03-02 12:00:00+00:00,26.052162,23.535301,258.84537,263.85345,2.7934647,6.784752,64.206535,88.21525,100.0,100.0,1.798,2.248,92.0,89.0
2025-03-02 13:00:00+00:00,26.168804,23.042812,262.09293,269.10486,12.614037,4.9962006,97.38596,73.0038,100.0,100.0,2.248,2.348,89.0,91.0
2025-03-02 14:00:00+00:00,23.177402,19.083395,263.75818,271.0809,1.7958069,1.5963287,46.204193,44.40367,100.0,100.0,2.398,2.348,90.0,92.0
2025-03-02 15:00:00+00:00,23.188583,18.844202,242.24155,276.58185,0.2805214,0.013259888,27.719479,22.98674,100.0,100.0,2.698,2.248,89.0,94.0
2025-03-02 16:00:00+00:00,25.284714,20.163212,241.97559,271.023,0.0,0.0,6.0,4.0,100.0,100.0,2.598,2.2979999,91.0,95.0
2025-03-02 17:00:00+00:00,25.478743,22.346113,246.69508,272.77014,0.0,0.0,0.0,0.0,100.0,100.0,2.498,2.2979999,93.0,95.0
2025-03-02 18:00:00+00:00,27.558228,23.78453,250.1447,267.3975,0.0,0.0,0.0,0.0,100.0,100.0,2.5479999,2.648,93.0,94.0
2025-03-02 19:00:00+00:00,28.916763,25.099514,251.11382,261.75375,0.0,0.0,0.0,0.0,100.0,100.0,2.598,2.598,92.0,93.0
2025-03-02 20:00:00+00:00,29.869154,27.44513,254.62369,265.48608,0.0,0.0,0.0,0.0,100.0,100.0,2.648,2.5479999,90.0,92.0
2025-03-02 21:00:00+00:00,29.738703,31.68818,263.04712,268.6981,0.0,0.0,0.0,0.0,100.0,100.0,2.598,2.2979999,90.0,91.0
