,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,direct_radiation,direct_radiation_previous_day1,diffuse_radiation,diffuse_radiation_previous_day1,cloud_cover,cloud_cover_previous_day1,temperature_2m,temperature_2m_previous_day1,relative_humidity_2m,relative_humidity_2m_previous_day1
2025-03-01 00:00:00+00:00,10.175663,13.333627,100.0,72.0,0.0,0.0,0.0,0.0,100.0,100.0,2.1235,1.8235,89.0,91.0
2025-03-01 01:00:00+00:00,12.631857,12.982742,89.0,83.0,0.0,0.0,0.0,0.0,100.0,100.0,1.9735,1.7735,89.0,91.0
2025-03-01 02:00:00+00:00,9.123008,11.930088,94.0,87.0,0.0,0.0,0.0,0.0,100.0,100.0,1.8735,1.8235,89.0,90.0
2025-03-01 03:00:00+00:00,8.772122,10.526547,105.0,84.0,0.0,0.0,0.0,0.0,100.0,100.0,1.7735,1.8235,89.0,89.0
2025-03-01 04:00:00+00:00,8.070353,9.473893,104.0,70.0,0.0,0.0,0.0,0.0,100.0,100.0,1.9235,1.7235,90.0,90.0
2025-03-01 05:00:00+00:00,5.2632737,9.123008,99.0,66.0,0.0,0.0,0.0,0.0,100.0,100.0,2.1235,1.8735,88.0,88.0
2025-03-01 06:00:00+00:00,5.2632737,8.772122,123.0,74.0,0.0,0.0,6.0,2.0,100.0,100.0,2.1735,1.8735,88.0,88.0
2025-03-01 07:00:00+00:00,4.561504,7.368583,141.0,91.0,0.0,0.0,8.0,19.0,100.0,100.0,2.0735002,1.9735,89.0,87.0
2025-03-01 08:00:00+00:00,3.8597343,2.4561944,140.0,103.0,0.0,0.0,24.653502,50.634865,100.0,100.0,2.2235,2.2235,88.0,86.0
2025-03-01 09:00:00+00:00,6.6668134,1.7544246,207.0,250.0,0.0,0.0,47.420433,52.94199,100.0,100.0,2.5235002,2.5235002,86.0,84.0
2025-03-01 10:00:00+00:00,5.965044,2.4561944,247.0,288.0,0.0,0.0,100.15364,122.22296,100.0,100.0,3.0235002,3.0735002,85.0,82.0
